currency_code,rate_date,exchange_rate
DOP $,2020-04-01,0.0185
Ft,2020-04-01,0.0030
₹,2020-04-01,0.0131
CRC ₡,2020-04-01,0.0017
₲,2020-04-01,0.0001
CHF,2020-04-01,1.0340
SGD $,2020-04-01,0.7000
₫,2020-04-01,0.00004
₺,2020-04-01,0.1500
د.ك.‏,2020-04-01,3.2100
GTQ Q,2020-04-01,0.1300
R$,2020-04-01,0.1900
din.,2020-04-01,0.0094
$,2020-04-01,1.0000
AU $,2020-04-01,0.6100
￥,2020-04-01,0.0093
COP $,2020-04-01,0.0002
Unknown,2020-04-01,0.0000
UYU,2020-04-01,0.0230
NZD $,2020-04-01,0.5900
USD $,2020-04-01,1.0000
лв.,2020-04-01,0.5600
HKD $,2020-04-01,0.1290
Lei,2020-04-01,0.2200
CLP,2020-04-01,0.0012
₱,2020-04-01,0.0190
zł,2020-04-01,0.2400
CAD $,2020-04-01,0.7100
Kč,2020-04-01,0.0400
kr,2020-04-01,0.1000
kn,2020-04-01,0.1400
€,2020-04-01,1.0900
BOB Bs,2020-04-01,0.1400
MXN $,2020-04-01,0.0410
PEN S/.,2020-04-01,0.2900
£,2020-04-01,1.2400
€,2026-03-13,1.1100
